@relation pvt_702_lifetimes

@attribute "unit_id" integer
@attribute "type" string
@attribute "gained" integer
@attribute "lost" integer
@attribute "completed" integer
@attribute "observable" integer

@data

5,Protoss Probe,0,13035,0,0
6,Protoss Nexus,0,19120,0,0
35,Protoss Assimilator,10890,19120,11560,10890
118,Protoss Assimilator,2365,19120,3035,2365
127,Protoss Probe,0,11259,0,0
132,Protoss Probe,0,12946,0,0
136,Protoss Probe,0,12976,0,0
154,Protoss Probe,6,19120,307,307
157,Protoss Probe,390,8901,691,691
159,Protoss Probe,692,11406,993,993
161,Protoss Probe,994,11325,1295,1295
162,Protoss Pylon,1196,19120,1717,1196
164,Protoss Probe,1348,16674,1649,1649
167,Protoss Probe,1717,16796,2018,2018
168,Protoss Gateway,1874,19120,2845,1874
170,Protoss Probe,2019,19120,2320,2320
173,Protoss Probe,2321,13102,2622,2622
174,Protoss Probe,2623,11406,2924,2924
176,Protoss Probe,2925,11495,3226,3226
178,Protoss Cybernetics Core,3046,19120,4017,3046
180,Protoss Probe,3227,16928,3528,3528
183,Protoss Pylon,3470,19120,3991,3470
184,Protoss Probe,3602,16793,3903,3903
186,Protoss Probe,3904,19120,4205,4205
190,Protoss Probe,4206,16754,4507,4507
193,Protoss Probe,4508,19120,4809,4809
194,Protoss Pylon,4583,19120,5104,4583
195,Protoss Dragoon,4634,18909,5385,5385
197,Protoss Probe,4810,16720,5111,5111
202,Protoss Nexus,5243,19120,7114,5243
205,Protoss Dragoon,5432,7851,6183,6183
207,Protoss Gateway,5644,19120,6615,5644
209,Protoss Probe,5758,14068,6059,6059
213,Protoss Pylon,6018,19120,6539,6018
214,Protoss Probe,6060,10330,6361,6361
215,Protoss Dragoon,6184,7791,6935,6935
217,Protoss Probe,6362,17027,6663,6663
220,Protoss Probe,6664,13132,6965,6965
221,Protoss Robotics Facility,6684,19120,7955,6684
222,Protoss Dragoon,6858,8264,7609,7609
227,Protoss Probe,7214,11406,7515,7515
228,Protoss Dragoon,7382,19033,8133,8133
235,Protoss Dragoon,7902,18835,8653,8653
236,Protoss Probe,7914,13074,8215,8215
243,Protoss Dragoon,8286,18257,9037,9037
244,Protoss Probe,8422,16796,8723,8723
246,Protoss Gateway,8500,19120,9471,8500
248,Protoss Observatory,8705,19120,9226,8705
249,Protoss Probe,8724,16012,9025,9025
251,Protoss Probe,8792,11406,9093,9093
253,Protoss Probe,9026,16782,9327,9327
255,Protoss Dragoon,9038,14809,9789,9789
256,Protoss Probe,9094,11378,9395,9395
258,Protoss Probe,9328,16796,9629,9629
262,Protoss Probe,9396,16717,9697,9697
263,Protoss Observer,9408,19120,10009,10009
264,Protoss Gateway,9447,19120,10418,9447
