   P1    P2    ST  UNIT       EVAL    RND           MS | UnitType PlayerID CurrentHP XPos YPos
    0     0     0     3    -100439     63         0.07 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     1     3    -100439     63         0.07 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     2     3    -100439     63         0.07 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     3     3    -100439     63         0.06 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     4     3    -100439     63         0.08 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     5     3    -100439     63         0.06 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     6     3    -100439     63         0.06 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     7     3    -100439     63         0.07 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     8     3    -100439     63         0.06 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
    0     0     9     3    -100439     63         0.06 | Terran_Marine 1 15 568 192 | Terran_Marine 1 20 482 260
